ID_Intervention,Date,ID_Machine,Type_Panne,Duree_Arret_h,Technicien,Pieces_Changees
INT-00127,2024-12-26,CMP-009,Défaut Capteur,37.50,Martin Dupont,"Roulement SKF 6205, Relais temporisé"
INT-00128,2024-07-29,CMP-005,Usure Normale,30.75,Pierre Rodriguez,Capteur inductif M12
INT-00129,2024-12-05,CVY-010,Panne Électrique,38 heures 0 min,Thomas Laurent,"Huile ISO VG 68, Câble 3G2.5"
INT-00130,2024-09-19,MOT-005,Défaut Capteur,41.75,Alexandre Petit,"Courroie HTD 800-8M, Filtre hydraulique HF35"
INT-00131,2024-05-07,CMP-010,Vibration Anormale,11.25,Céline Lefebvre,Vérin pneumatique ISO 6432
INT-00132,2024-04-02,CMP-005,Panne Électrique,31.00,S.Bernard,"Variateur ATV320, Vérin pneumatique ISO 6432, Contacteur LC1D09"
INT-00133,2024-12-08,CNC-006,Vibrations Anormales,47.75,Julie Moreau,
INT-00134,2024-09-25,CNC-008,Panne Électrique,17.25,Pierre Rodriguez,Filtre hydraulique HF35
INT-00135,2024-01-24,PMP-006,Surchauffe,14.00,RODRIGUEZ,"Fusible 10A, Filtre hydraulique HF35"
INT-00136,2024-06-15,CNC-008,Panne Pneumatique,25.75,Martin Dupont,"Courroie HTD 800-8M, Huile ISO VG 68"
INT-00137,2024-06-19,CNC-008,Usure Normale,29.25,Isabelle Garcia,"Huile ISO VG 68, Capteur inductif M12, Disjoncteur C16"
INT-00138,2024-08-08,PMP-005,Fuite,41:30,T.Laurent,"Capteur inductif M12, Variateur ATV320"
INT-00139,15-06-2024,MOT-001,Fuite,10.50,Céline Lefebvre,"Relais temporisé, Filtre hydraulique HF35"
INT-00140,2024-06-17,CNC-007,Usure Normale,19.0.75,Alexandre Petit,Electrovanne 5/2
INT-00141,2024-10-01,CVY-001,Panne Pneumatique,7.00,Sophie Bernard,Filtre hydraulique HF35 | Roulement SKF 6205
INT-00142,2024-06-16,MOT-005,Panne Électrique,33.00,Marie Simon,-
INT-00143,2024-04-09,CMP-006,Panne Électrique,30.00,Marie Simon,N/A
INT-00144,2024-09-09,PMP-002,Panne Pneumatique,35.00,Céline Lefebvre,Graisse lithium NLGI 2
INT-00145,2024-08-10,CNC-002,Def. Lubrification,47.0.75,Céline Lefebvre,"Capteur inductif M12, Graisse lithium NLGI 2"
INT-00146,2024-02-17,CMP-010,Surchauffe,23.25,Pierre Rodriguez,"Huile ISO VG 68, Relais temporisé"
INT-00147,2024-07-25,PMP-004,Usure Normale,33.0.50,Isabelle Garcia,"Filtre hydraulique HF35, Huile ISO VG 68"
INT-00148,2024-11-19,PMP-003,Surchauffe,37.50,Marie Simon,Electrovanne 5/2
INT-00149,2024-12-12,CNC-007,Défaut Lubrification,34.25,Nicolas Michel,"Fusible 10A, Capteur inductif M12"
INT-00150,2024-01-24,MOT-007,Défaut Capteur,30.50,Pierre Rodriguez,
INT-00151,2024-05-26,CMP-006,Panne Mécanique,0.00,T.Laurent,N/A
INT-00152,2024-08-12,CVY-009,Def. Lubrification,35.00,Julie Moreau,Graisse lithium NLGI 2
INT-00153,2024-07-02,PMP-006,Usure Normale,38.50,Isabelle Garcia,Courroie HTD 800-8M
INT-00154,2024-08-31,CVY-004,Surchauffe,16.00,Marie Simon,"Electrovanne 5/2, Fusible 10A"
INT-00155,2024-12-14,CNC-009,Défaut Capteur,16.25,Thomas Laurent,"Joint torique NBR 40x3, Disjoncteur C16, Roulement SKF 6205"
INT-00156,2024-01-21,CNC-008,Fuite,40.00,Martin Dupont,"Roulement SKF 6205, Vérin pneumatique ISO 6432"
INT-00157,2024-04-17,CMP-002,Panne Électrique,44.25,Nicolas Michel,Roulement SKF 6205
INT-00158,2024-12-06,MOT-010,Usure Normale,5.25,Julie Moreau,"Relais temporisé, Vérin pneumatique ISO 6432"
INT-00159,2024-06-15,CVY-010,Panne Mécanique,46.75,Nicolas Michel,-
INT-00160,2024-05-15,CMP-003,Surchauffe,42.50,M. Dupont,"Roulement SKF 6205, Contacteur LC1D09"
INT-00161,2024-04-29,CNC-003,Panne Mécanique,31.00,Sophie Bernard,Câble 3G2.5
INT-00162,2024-04-24,CMP-007,Fuites,41.25,Julie Moreau,Joint torique NBR 40x3
INT-00163,2024-10-28,MOT-001,Usure Normale,40.00,Nicolas Michel,Aucune
INT-00164,2024-07-02,CMP-007,Panne Mécanique,34 heures 45 min,Isabelle Garcia,Joint torique NBR 40x3
INT-00165,2024-11-28,MOT-002,,27.25,Sophie Bernard,"Roulement SKF 6205, Filtre hydraulique HF35"
INT-00166,2024-11-15,CMP-004,Panne Électrique,46.50,Martin Dupont,
INT-00167,2024-06-02,MOT-010,Vibrations Anormales,19.50,I. Garcia,"Capteur inductif M12, Fusible 10A"
INT-00168,2024-03-11,PMP-007,Fuite,26.25,Nicolas Michel,Vérin pneumatique ISO 6432
INT-00169,2024-06-30,CNC-003,Usure Normale,25.75,RODRIGUEZ,Relais temporisé
INT-00170,2024-01-28,CVY-003,Panne Mecanique,0.0.75,Nicolas Michel,Capteur inductif M12
INT-00171,2024-01-05,PMP-006,Vibrations Anormales,31.00,Marie Simon,"Joint torique NBR 40x3, Huile ISO VG 68"
INT-00172,2024-01-19,CVY-007,Usure Normale,43.75,Alexandre Petit,Electrovanne 5/2
INT-00173,2024-09-29,MOT-010,Défaut Capteur,36.25,Martin Dupont,"Courroie HTD 800-8M, Huile ISO VG 68"
INT-00174,2024-12-30,MOT-004,Vibrations Anormales,22.50,Julie Moreau,Vérin pneumatique ISO 6432 - Graisse lithium NLGI 2
INT-00175,2024-06-09,CNC-006,Surchauffe,6.25,Marie Simon,Contacteur LC1D09
INT-00176,2024-08-25,CVY-006,Surchauffe,43.75,Nicolas Michel,"Roulement SKF 6205, Fusible 10A"
INT-00177,2024-12-24,CVY-006,Fuite,25.50,Nicolas Michel,"Roulement SKF 6205, Filtre hydraulique HF35"
INT-00178,2024-08-01,MOT-003,surchauffe,2.25,Sophie Bernard,
INT-00179,2024-06-23,PMP-002,panne pneumatique,10.50,Martin Dupont,Joint torique NBR 40x3
INT-00180,2024-01-16,MOT-001,Vibrations Anormales,27.50,Céline Lefebvre,Courroie HTD 800-8M
INT-00181,2024-06-28,CVY-008,Panne Pneumatique,22.50,Sophie Bernard,"Filtre hydraulique HF35, Contacteur LC1D09"
INT-00182,27/04/2024,CNC-005,Défaut Lubrification,21.5,Nicolas Michel,"Electrovanne 5/2, Huile ISO VG 68"
INT-00183,2024-11-24,CNC-010,Usure Normale,26.8,Céline Lefebvre,Graisse lithium NLGI 2
INT-00184,2024-08-02,CMP-003,Panne Électrique,13.50,Pierre Rodriguez,"Electrovanne 5/2, Câble 3G2.5"
INT-00185,2024-12-15,MOT-001,,40.75,Isabelle Garcia,"Filtre hydraulique HF35, Joint torique NBR 40x3"
INT-00186,2024-03-25,CNC-005,Vibrations Anormales,28.25,Marie Simon,"Vérin pneumatique ISO 6432, Electrovanne 5/2"
INT-00187,2024-09-14,CNC-009,surchauffe,28.25,Thomas Laurent,Graisse lithium NLGI 2
INT-00188,2024-11-26,CMP-010,Usure Normale,38.75,Céline Lefebvre,Roulement SKF 6205
INT-00189,2024-01-19,PMP-007,Usure Normale,6.00,Marie Simon,
INT-00190,2024-08-21,MOT-003,panne pneumatique,0.75,Pierre Rodriguez,Fusible 10A
INT-00191,2024-08-23,PMP-001,Usure Normale,1.75,Alexandre Petit,
INT-00192,2024-04-17,PMP-007,Panne Pneumatique,20.75,Marie Simon,Câble 3G2.5
INT-00193,2024-02-02,CNC-004,Surchauffe,31.75,Pierre Rodriguez,Câble 3G2.5
INT-00194,2024-09-06,PMP-004,Panne Électrique,4.25,Marie Simon,"Câble 3G2.5, Filtre hydraulique HF35"
INT-00195,2024-01-27,CMP-003,Usure Normale,30.75,Pierre Rodriguez,-
INT-00196,2024-08-27,MOT-010,Panne Mecanique,35.25,Alexandre Petit,"Roulement SKF 6205, Courroie HTD 800-8M, Disjoncteur C16"
INT-00197,2024-01-28,PMP-005,Défaut Lubrification,11.25,Thomas Laurent,Disjoncteur C16
INT-00198,2024-08-30,CMP-004,Fuite,16.00,Sophie Bernard,Roulement SKF 6205
INT-00199,2024-06-08,PMP-003,Panne Électrique,41.25,Nicolas Michel,"Filtre hydraulique HF35, Contacteur LC1D09, Variateur ATV320"
INT-00200,2024-08-22,CVY-008,Surchauffe,44.25,A. PETIT,-
INT-00201,25-07-2024,PMP-002,Usure Normale,35.25,Julie Moreau,"Fusible 10A, Roulement SKF 6205"
INT-00202,2024-04-23,CMP-004,Fuite,32.50,Marie Simon,Huile ISO VG 68
INT-00203,2024-12-15,CNC-005,Vibration Anormale,44.25,Martin Dupont,"Disjoncteur C16, Graisse lithium NLGI 2"
INT-00204,2024-04-15,CMP-002,Panne Électrique,41.75,A. PETIT,Contacteur LC1D09
INT-00205,2024-08-15,PMP-005,Défaut Lubrification,2.75,A. PETIT,"Roulement SKF 6205, Capteur inductif M12"
INT-00206,2024-09-28,CMP-003,Défaut capteur,31.25,Nicolas Michel,Fusible 10A
INT-00207,2024-01-18,CVY-010,Panne Pneumatique,42.50,Sophie Bernard,Courroie HTD 800-8M
INT-00208,2024-07-02,CNC-006,Usure Normale,32.8,Céline Lefebvre,"Filtre hydraulique HF35, Capteur inductif M12"
INT-00209,2024-01-16,MOT-005,Fuite,7.00,Sophie Bernard,Capteur inductif M12
INT-00210,2024-06-11,CMP-007,Panne Pneumatique,39.50,Martin Dupont,Aucune
INT-00211,2024-11-11,MOT-006,Surchauffe,6.75,Isabelle Garcia,"Fusible 10A, Electrovanne 5/2, Contacteur LC1D09"
INT-00212,2024-10-09,CNC-008,Usure normale,32.00,Pierre Rodriguez,"Electrovanne 5/2, Relais temporisé"
INT-00213,2024-08-05,CNC-010,Défaut Lubrification,0.00,Pierre Rodriguez,"Fusible 10A, Huile ISO VG 68, Relais temporisé"
INT-00214,2024-12-23,MOT-006,Fuites,5.50,A. PETIT,Joint torique NBR 40x3
INT-00215,2024-07-23,MOT-008,Panne Mécanique,48.75,Pierre Rodriguez,
INT-00216,2024-08-30,CVY-003,Panne Électrique,42.00,Isabelle Garcia,
INT-00217,2024-03-18,PMP-003,Fuite,8.75,Nicolas Michel,Contacteur LC1D09
INT-00218,2024-02-22,CMP-008,Surchauffe,44h00,Thomas Laurent,Courroie HTD 800-8M
INT-00219,2024-01-26,CMP-002,Défaut Capteur,31.50,Isabelle Garcia,Fusible 10A
INT-00220,2024-01-26,CMP-006,Surchauffe,3.00,Martin Dupont,"Disjoncteur C16, Filtre hydraulique HF35"
INT-00221,2024-05-17,PMP-005,Défaut Lubrification,39.75,julie moreau,"Filtre hydraulique HF35, Capteur inductif M12"
INT-00222,2024-05-02,MOT-008,Panne Mécanique,12.0.50,Thomas Laurent,Joint torique NBR 40x3
INT-00223,28.06.2024,MOT-003,Défaut Capteur,24.00,Pierre Rodriguez,Graisse lithium NLGI 2
INT-00224,2024-01-09,CMP-010,Panne Pneumatique,27.25,Marie Simon,"Capteur inductif M12, Graisse lithium NLGI 2, Vérin pneumatique ISO 6432"
INT-00225,2024-02-25,MOT-009,Usure Normale,38.50,Thomas Laurent,Joint torique NBR 40x3
INT-00226,2024-05-26,CVY-009,Défaut Capteur,3.50,Alexandre Petit,Electrovanne 5/2
INT-00227,2024-09-27,MOT-005,Panne Électrique,1.50,Alexandre Petit,"Courroie HTD 800-8M, Fusible 10A"
INT-00228,2024-12-13,MOT-004,Surchauffe,44.25,Isabelle Garcia,Electrovanne 5/2
INT-00229,2024-02-28,CVY-003,panne pneumatique,36.00,Martin Dupont,Graisse lithium NLGI 2
INT-00230,2024-08-02,PMP-004,Défaut Lubrification,15.75,Pierre Rodriguez,Electrovanne 5/2
INT-00231,2024-08-06,CNC-010,Défaut Capteur,39.25,Martin Dupont,N/A
INT-00232,2024-08-02,PMP-003,Panne Mécanique,30.75,Marie Simon,Relais temporisé
INT-00233,2024-06-10,MOT-008,Panne Hydraulique,43.00,Julie Moreau,Aucune
INT-00234,2024-06-24,CNC-001,Vibration Anormale,24.25,Julie Moreau,Câble 3G2.5
INT-00235,2024-09-29,CMP-006,Fuite,2.75,Nicolas Michel,Joint torique NBR 40x3 / Graisse lithium NLGI 2
INT-00236,2024-01-27,CNC-008,Vibrations Anormales,46 heures 30 min,Thomas Laurent,Courroie HTD 800-8M
INT-00237,2024-08-05,CNC-009,Vibration Anormale,21.50,Nicolas Michel,"Contacteur LC1D09, Courroie HTD 800-8M, Capteur inductif M12"
INT-00238,2024-06-09,CVY-004,Usure Normale,40.50,Thomas Laurent,"Relais temporisé, Capteur inductif M12"
INT-00239,2024-06-11,CMP-003,Panne Hydraulique,29:30,Marie Simon,Relais temporisé
INT-00240,2024-07-21,CMP-009,Vibration Anormale,21.00,Marie Simon,Disjoncteur C16
INT-00241,2024-10-14,CMP-009,Usure Normale,33.25,Pierre Rodriguez,"Huile ISO VG 68, Variateur ATV320"
INT-00242,2024-08-23,CVY-006,Panne Électrique,48.25,Marie Simon,Capteur inductif M12
INT-00243,2024-09-01,MOT-001,Panne Hydraulique,35.75,Pierre Rodriguez,Variateur ATV320
INT-00244,2024-06-08,CNC-006,Vibrations Anormales,46.25,Martin Dupont,Roulement SKF 6205
INT-00245,2024-08-11,CVY-010,PANNE HYDRAULIQUE,13.25,Martin Dupont,Huile ISO VG 68
INT-00246,2024-04-05,CNC-007,Surchauffe,10.50,Marie Simon,Vérin pneumatique ISO 6432
